,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
45,"frozenset({'mineral water', '-'})",frozenset({'spaghetti'}),0.23823490201306494,0.17411011865084655,0.05972536995067324,0.2506994963626189,1.4398904458009223,0.0182462628944057,1.10221450184536
48,frozenset({'spaghetti'}),"frozenset({'mineral water', '-'})",0.17411011865084655,0.23823490201306494,0.05972536995067324,0.3430321592649311,1.439890445800922,0.0182462628944057,1.1595165710616981
46,"frozenset({'-', 'spaghetti'})",frozenset({'mineral water'}),0.17411011865084655,0.23836821757099053,0.05972536995067324,0.3430321592649311,1.4390851379453289,0.01822305130679728,1.1593136455154853
47,frozenset({'mineral water'}),"frozenset({'-', 'spaghetti'})",0.23836821757099053,0.17411011865084655,0.05972536995067324,0.2505592841163311,1.4390851379453289,0.01822305130679728,1.1020082894420047
42,frozenset({'mineral water'}),frozenset({'spaghetti'}),0.23836821757099053,0.17411011865084655,0.05972536995067324,0.2505592841163311,1.4390851379453289,0.01822305130679728,1.1020082894420047
43,frozenset({'spaghetti'}),frozenset({'mineral water'}),0.17411011865084655,0.23836821757099053,0.05972536995067324,0.3430321592649311,1.4390851379453289,0.01822305130679728,1.1593136455154853
55,"frozenset({'mineral water', '-'})",frozenset({'chocolate'}),0.23823490201306494,0.1638448206905746,0.05265964538061592,0.22104085058757694,1.3490865909336165,0.013626090578048686,1.0734262251623155
58,frozenset({'chocolate'}),"frozenset({'mineral water', '-'})",0.1638448206905746,0.23823490201306494,0.05265964538061592,0.3213995117982099,1.3490865909336163,0.013626090578048686,1.1225531240119222
56,"frozenset({'chocolate', '-'})",frozenset({'mineral water'}),0.1638448206905746,0.23836821757099053,0.05265964538061592,0.3213995117982099,1.3483320682317521,0.013604247514365099,1.1223566673923893
53,frozenset({'chocolate'}),frozenset({'mineral water'}),0.1638448206905746,0.23836821757099053,0.05265964538061592,0.3213995117982099,1.3483320682317521,0.013604247514365099,1.1223566673923893
57,frozenset({'mineral water'}),"frozenset({'chocolate', '-'})",0.23836821757099053,0.1638448206905746,0.05265964538061592,0.220917225950783,1.348332068231752,0.013604247514365099,1.0732558941889825
52,frozenset({'mineral water'}),frozenset({'chocolate'}),0.23836821757099053,0.1638448206905746,0.05265964538061592,0.220917225950783,1.348332068231752,0.013604247514365099,1.0732558941889825
69,frozenset({'eggs'}),"frozenset({'mineral water', '-'})",0.17970937208372217,0.23823490201306494,0.05092654312758299,0.28338278931750743,1.1895099623226766,0.008113498478388013,1.0630013996753502
68,"frozenset({'mineral water', '-'})",frozenset({'eggs'}),0.23823490201306494,0.17970937208372217,0.05092654312758299,0.21376608841634023,1.1895099623226766,0.008113498478388013,1.0433162648301697
65,frozenset({'mineral water'}),frozenset({'eggs'}),0.23836821757099053,0.17970937208372217,0.05092654312758299,0.21364653243847875,1.188844688294532,0.008089540423184209,1.0431576406218384
64,frozenset({'eggs'}),frozenset({'mineral water'}),0.17970937208372217,0.23836821757099053,0.05092654312758299,0.28338278931750743,1.188844688294532,0.008089540423184209,1.0628153651286798
70,frozenset({'mineral water'}),"frozenset({'eggs', '-'})",0.23836821757099053,0.17970937208372217,0.05092654312758299,0.21364653243847875,1.188844688294532,0.008089540423184209,1.0431576406218384
67,"frozenset({'eggs', '-'})",frozenset({'mineral water'}),0.17970937208372217,0.23836821757099053,0.05092654312758299,0.28338278931750743,1.188844688294532,0.008089540423184209,1.0628153651286798
44,"frozenset({'mineral water', 'spaghetti'})",frozenset({'-'}),0.05972536995067324,0.9998666844420744,0.05972536995067324,1.0,1.0001333333333333,7.962321017289387e-06,inf
33,frozenset({'tomatoes'}),frozenset({'-'}),0.06839088121583789,0.9998666844420744,0.06839088121583789,1.0,1.0001333333333333,9.117568486316507e-06,inf
49,frozenset({'-'}),"frozenset({'mineral water', 'spaghetti'})",0.9998666844420744,0.05972536995067324,0.05972536995067324,0.05973333333333333,1.0001333333333333,7.962321017289387e-06,1.000008469281048
41,frozenset({'chicken'}),frozenset({'-'}),0.05999200106652446,0.9998666844420744,0.05999200106652446,1.0,1.0001333333333333,7.997867093260946e-06,inf
40,frozenset({'-'}),frozenset({'chicken'}),0.9998666844420744,0.05999200106652446,0.05999200106652446,0.06,1.0001333333333333,7.997867093260946e-06,1.0000085095036975
39,frozenset({'turkey'}),frozenset({'-'}),0.06252499666711105,0.9998666844420744,0.06252499666711105,1.0,1.0001333333333333,8.335554814969948e-06,inf
38,frozenset({'-'}),frozenset({'turkey'}),0.9998666844420744,0.06252499666711105,0.06252499666711105,0.06253333333333333,1.0001333333333333,8.335554814969948e-06,1.0000088927601574
63,frozenset({'cooking oil'}),frozenset({'-'}),0.0510598586855086,0.9998666844420744,0.0510598586855086,1.0,1.0001333333333333,6.807073548262266e-06,inf
50,frozenset({'-'}),frozenset({'whole wheat rice'}),0.9998666844420744,0.058525529929342755,0.058525529929342755,0.05853333333333333,1.0001333333333333,7.802363675424306e-06,1.0000082885611004
51,frozenset({'whole wheat rice'}),frozenset({'-'}),0.058525529929342755,0.9998666844420744,0.058525529929342755,1.0,1.0001333333333333,7.802363675424306e-06,inf
54,"frozenset({'mineral water', 'chocolate'})",frozenset({'-'}),0.05265964538061592,0.9998666844420744,0.05265964538061592,1.0,1.0001333333333333,7.0203500040846856e-06,inf
59,frozenset({'-'}),"frozenset({'mineral water', 'chocolate'})",0.9998666844420744,0.05265964538061592,0.05265964538061592,0.05266666666666667,1.0001333333333333,7.0203500040846856e-06,1.0000074116320028
60,frozenset({'-'}),frozenset({'grated cheese'}),0.9998666844420744,0.0523930142647647,0.0523930142647647,0.0524,1.0001333333333333,6.984803928113126e-06,1.0000073720295855
66,"frozenset({'eggs', 'mineral water'})",frozenset({'-'}),0.05092654312758299,0.9998666844420744,0.05092654312758299,1.0,1.0001333333333333,6.789300510276486e-06,inf
